Street,Event,Event Date/Time,Event Nature,P
2631-G SUFFOLK AV,Call,2/8/14 12:43,DOMESTIC DISTURBANCE,0.8
2633-A SUFFOLK AV,Call,1/30/14 8:56,DOMESTIC DISTURBANCE,0.8
2633-A SUFFOLK AV,Call,8/26/13 4:57,DOMESTIC DISTURBANCE,0.8
2633-C SUFFOLK AV,Arrest,1/5/13 13:43,ASSAULT ON GOVERNMENT OFFICIAL,0.8
2633-C SUFFOLK AV,Arrest,11/12/12 14:07,THEFT OF CABLE TELEVISION SERVICE,0.8
2633-C SUFFOLK AV,Arrest,1/5/13 13:43,FUGITIVE FROM JUSTICE,0.8
2633-C SUFFOLK AV,Arrest,11/12/12 14:44,NO PROBABLE CAUSE,0.8
2633-C SUFFOLK AV,Arrest,1/5/13 13:39,VIO DOM VIOLENCE ACT,0.8
2633-C SUFFOLK AV,Arrest,1/5/13 13:43,RESIST  DELAY  OBSTRUCT PUBLIC OFFICER,0.8
2633-C SUFFOLK AV,Arrest,11/12/12 18:22,FUGITIVE FROM JUSTICE,0.8
2633-C SUFFOLK AV,Call,1/3/13 5:21,DOMESTIC DISTURBANCE IP,0.8
2633-C SUFFOLK AV,Report,1/3/12 17:00,DOMESTIC DISTUR,0.8
2635 SUFFOLK AV,Call,7/10/14 4:21,DOMESTIC DISTURBANCE IP,0.8
2635 UWHARRIE RD,Call,10/22/11 4:23,DOMESTIC DISTURBANCE,0.8
2635-A SUFFOLK AV,Call,12/13/11 9:04,DOMESTIC DISTURBANCE,0.8
2635-A SUFFOLK AV,Call,6/23/11 10:15,DOMESTIC DISTURBANCE,0.8
2635-A UWHARRIE RD,Arrest,4/22/13 0:05,AFFRAY OR SIMPLE ASSAULT,0.8
2635-A UWHARRIE RD,Arrest,5/29/11 9:15,LARCENY AFTER B & E,0.8
2635-A UWHARRIE RD,Arrest,5/29/11 9:15,BREAKING AND ENTERING-BUILDING  (FELONY),0.8
2635-A UWHARRIE RD,Arrest,4/22/13 0:05,VANDALISM-TO REAL PROPERTY WILLFUL AND WANTON INJURY,0.8
2635-A UWHARRIE RD,Arrest,5/10/11 0:24,ASSAULT BY POINTING A GUN,0.8
2635-A UWHARRIE RD,Arrest,5/29/11 9:15,ASSAULT & BATTERY,0.8
2635-A UWHARRIE RD,Arrest,4/22/13 0:05,INJURY TO PERSONAL PROPERTY,0.8
2635-A UWHARRIE RD,Call,5/29/11 6:15,DOMESTIC DISTURBANCE,0.8
2635-A UWHARRIE RD,Report,4/21/13 23:34,DOMESTIC DISTUR,0.8
2635-A UWHARRIE RD,Report,5/29/11 6:10,DOMESTIC DISTUR,0.8
2635-B UWHARRIE RD,Arrest,4/22/13 0:05,AFFRAY OR SIMPLE ASSAULT,0.8
2635-B UWHARRIE RD,Arrest,5/29/11 9:15,LARCENY AFTER B & E,0.8
2635-B UWHARRIE RD,Arrest,5/29/11 9:15,BREAKING AND ENTERING-BUILDING  (FELONY),0.8
2635-B UWHARRIE RD,Arrest,4/22/13 0:05,VANDALISM-TO REAL PROPERTY WILLFUL AND WANTON INJURY,0.8
2635-B UWHARRIE RD,Arrest,5/10/11 0:24,ASSAULT BY POINTING A GUN,0.8
2635-B UWHARRIE RD,Arrest,5/29/11 9:15,ASSAULT & BATTERY,0.8
2635-B UWHARRIE RD,Arrest,4/22/13 0:05,INJURY TO PERSONAL PROPERTY,0.8
2635-B UWHARRIE RD,Call,4/21/13 11:34,DOMESTIC DISTURBANCE IP,0.8
2635-B UWHARRIE RD,Call,8/21/11 5:22,DOMESTIC DISTURBANCE,0.8
2635-B UWHARRIE RD,Call,4/22/11 10:00,DOMESTIC DISTURBANCE,0.8
2635-B UWHARRIE RD,Report,4/21/13 23:34,DOMESTIC DISTUR,0.8
2635-B UWHARRIE RD,Report,5/29/11 6:10,DOMESTIC DISTUR,0.8
2636-2A GUYER ST,Arrest,11/18/13 19:15,ASSAULT & BATTERY,0.8
2636-2A GUYER ST,Arrest,1/20/14 18:12,FAILURE TO APPEAR,0.8
2636-2A GUYER ST,Arrest,3/29/14 14:30,LARCENY,0.8
2636-2A GUYER ST,Arrest,5/19/13 18:26,VIO DOM VIOLENCE ACT,0.8
2636-2A GUYER ST,Arrest,6/20/11 15:02,FAILURE TO APPEAR,0.8
2636-2A GUYER ST,Arrest,4/9/13 7:46,VIO DOM VIOLENCE ACT,0.8
2636-2A GUYER ST,Arrest,5/24/11 18:00,FAILURE TO APPEAR,0.8
2636-2A GUYER ST,Arrest,11/18/13 19:15,LARCENY,0.8
2636-2A GUYER ST,Arrest,8/23/13 16:01,VIO DOM VIOLENCE ACT,0.8
2636-2A GUYER ST,Arrest,5/1/11 2:40,FAILURE TO APPEAR,0.8
2636-2A GUYER ST,Arrest,1/20/14 18:12,VIO DOM VIOLENCE ACT,0.8
2636-2A GUYER ST,Arrest,3/29/14 14:30,INJURY TO PERSONAL PROPERTY,0.8
2636-2A GUYER ST,Call,5/18/14 2:02,DOMESTIC DISTURBANCE IP,0.8
2636-2A GUYER ST,Call,3/29/14 2:14,DOMESTIC DISTURBANCE,0.8
2636-2A GUYER ST,Call,3/29/14 11:53,DOMESTIC DISTURBANCE IP,0.8
2636-2A GUYER ST,Call,2/23/14 8:50,DOMESTIC DISTURBANCE IP,0.8
2636-2A GUYER ST,Call,5/19/13 4:21,DOMESTIC DISTURBANCE,0.8
2636-2A GUYER ST,Call,4/9/13 6:34,DOMESTIC DISTURBANCE,0.8
2636-2A GUYER ST,Call,4/9/13 12:34,DOMESTIC DISTURBANCE IP,0.8
2636-2A GUYER ST,Call,2/12/13 7:07,DOMESTIC DISTURBANCE IP,0.8
2636-2A GUYER ST,Call,2/10/13 9:27,DOMESTIC DISTURBANCE,0.8
2636-2A GUYER ST,Call,5/24/11 5:12,DOMESTIC DISTURBANCE,0.8
2636-2A GUYER ST,Report,5/19/13 16:21,DOMESTIC DISTUR,0.8
2637-D SUFFOLK AV,Call,1/8/14 12:43,DOMESTIC DISTURBANCE IP,0.8
2637-G SUFFOLK AV,Call,4/24/14 12:19,DOMESTIC DISTURBANCE IP,0.8
2637-G SUFFOLK AV,Call,4/13/14 5:08,DOMESTIC DISTURBANCE IP,0.8
2637-G SUFFOLK AV,Call,3/25/14 3:52,DOMESTIC DISTURBANCE IP,0.8
2639 UWHARRIE RD,Call,9/1/11 9:39,DOMESTIC DISTURBANCE,0.8
2639-A SUFFOLK AV,Arrest,4/9/11 2:58,INTOXICATED AND DISRUPTIVE,0.8
2639-A SUFFOLK AV,Arrest,2/3/12 19:39,SELL OR DELIVER CONTROL SUBSTANCE SCHEDULE VI,0.8
2639-A SUFFOLK AV,Arrest,6/27/13 4:50,FAILURE TO APPEAR,0.8
2639-A SUFFOLK AV,Arrest,2/21/14 8:57,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
2639-A SUFFOLK AV,Arrest,2/2/13 1:20,INTOXICATED AND DISRUPTIVE,0.8
2639-A SUFFOLK AV,Arrest,5/26/12 14:44,TRESPASS (SECOND DEGREE),0.8
2639-A SUFFOLK AV,Arrest,7/30/14 1:15,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
2639-A SUFFOLK AV,Arrest,2/2/13 1:20,POSSESS CONTROL SUBSTANCE SCHEDULE VI,0.8
2639-A SUFFOLK AV,Call,6/27/13 3:54,DOMESTIC DISTURBANCE,0.8
2639-B SUFFOLK AV,Call,11/19/12 3:29,DOMESTIC DISTURBANCE,0.8
2639-E SUFFOLK AV,Call,3/27/14 1:36,DOMESTIC DISTURBANCE IP,0.8
264 BEDDINGTON ST,Arrest,10/26/13 3:00,FAILURE TO APPEAR,0.8
264 BEDDINGTON ST,Call,9/17/14 11:27,DOMESTIC DISTURBANCE IP,0.8
264 BEDDINGTON ST,Call,10/26/13 2:32,DOMESTIC DISTURBANCE IP,0.8
264 BEDDINGTON ST,Call,7/22/13 2:16,DOMESTIC DISTURBANCE,0.8
264 BEDDINGTON ST,Call,5/30/13 7:16,DOMESTIC DISTURBANCE,0.8
2640 DANDELION DR,Arrest,5/19/13 9:37,DOMESTIC CRIMINAL TRESPASS,0.8
2640 DANDELION DR,Arrest,5/19/13 9:37,CYBERSTALKING,0.8
2640 DANDELION DR,Call,8/7/13 10:57,DOMESTIC DISTURBANCE,0.8
2640 DANDELION DR,Call,5/18/13 10:24,DOMESTIC DISTURBANCE IP,0.8
2640 DANDELION DR,Call,11/25/11 11:47,DOMESTIC DISTURBANCE IP,0.8
2640 DANDELION DR,Report,5/18/13 22:24,HARASSMENT - TH,0.8
2640 WILLARD DAIRY RD,Call,7/30/13 9:04,DOMESTIC DISTURBANCE IP,0.8
2640-1D INGLESIDE DR,Call,10/6/13 11:17,DOMESTIC DISTURBANCE,0.8
265 EASTCHESTER DR,Arrest,12/2/11 10:17,DISORDERLY CONDUCT (NON-SPECIFIC) DISTURBING THE PEACE,0.8
265 EASTCHESTER DR,Arrest,9/5/14 10:52,LARCENY,0.8
265 EASTCHESTER DR,Arrest,12/18/13 12:03,CARRYING CONCEALED GUN,0.8
265 EASTCHESTER DR,Arrest,10/20/14 18:10,ASSAULT ON FEMALE,0.8
265 EASTCHESTER DR,Call,7/20/14 8:56,DOMESTIC DISTURBANCE IP,0.8
265 EASTCHESTER DR,Call,5/29/14 9:20,DOMESTIC DISTURBANCE IP,0.8
265 EASTCHESTER DR,Call,5/12/14 12:02,DOMESTIC DISTURBANCE,0.8
265 EASTCHESTER DR,Call,3/12/14 1:51,DOMESTIC DISTURBANCE IP,0.8
265 EASTCHESTER DR,Call,12/22/13 2:45,DOMESTIC DISTURBANCE IP,0.8
265 EASTCHESTER DR,Call,12/18/13 12:03,DOMESTIC DISTURBANCE IP,0.8
265 EASTCHESTER DR,Call,6/15/13 6:04,DOMESTIC DISTURBANCE IP,0.8
265 EASTCHESTER DR,Call,11/23/12 4:01,DOMESTIC DISTURBANCE IP,0.8
265 EASTCHESTER DR,Call,4/6/12 3:47,DOMESTIC DISTURBANCE,0.8
265 EASTCHESTER DR,Call,7/27/11 9:32,DOMESTIC DISTURBANCE,0.8
265 EASTCHESTER DR,Report,12/22/13 2:45,DOMESTIC DISTUR,0.8
2671 CARSTEN AV,Call,4/8/14 11:55,DOMESTIC DISTURBANCE IP,0.8
2682 WELLFLEET DR,Call,7/11/14 12:33,DOMESTIC DISTURBANCE,0.8
2699 S MAIN ST/PLAZA LN,Call,9/20/13 4:43,DOMESTIC DISTURBANCE,0.8
2699 S MAIN ST/PLAZA LN,Report,9/20/13 16:43,DOMESTIC DISTUR,0.8
270 BEDDINGTON ST,Arrest,6/26/13 4:10,ASSAULT INFLICTING SERIOUS INJURY OR AWDW,0.8
270 BEDDINGTON ST,Arrest,8/24/14 1:24,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
270 BEDDINGTON ST,Arrest,8/24/14 1:24,ASSAULT INFLICTING SERIOUS INJURY,0.8
270 BEDDINGTON ST,Arrest,1/18/12 19:36,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
270 BEDDINGTON ST,Arrest,1/18/12 19:36,COMMUNICATING THREATS,0.8
270 BEDDINGTON ST,Arrest,1/18/12 19:36,VANDALISM-TO REAL PROPERTY WILLFUL AND WANTON INJURY,0.8
270 BEDDINGTON ST,Call,7/4/14 2:58,DOMESTIC DISTURBANCE IP,0.8
270 BEDDINGTON ST,Call,1/18/12 7:11,DOMESTIC DISTURBANCE IP,0.8
270 BEDDINGTON ST,Call,1/18/12 2:15,DOMESTIC DISTURBANCE IP,0.8
270 BEDDINGTON ST,Call,8/30/11 10:49,DOMESTIC DISTURBANCE IP,0.8
270 BEDDINGTON ST,Report,1/18/12 14:00,DOMESTIC DISTUR,0.8
270 BEDDINGTON ST,Report,8/30/11 10:00,DOMESTIC DISTUR,0.8
270 DOROTHY ST,Call,7/13/11 3:59,DOMESTIC DISTURBANCE,0.8
2700 ANNMOORE CI,Call,7/31/14 10:27,DOMESTIC DISTURBANCE IP,0.8
2700 BELMONT DR,Call,7/22/11 6:30,DOMESTIC DISTURBANCE,0.8
2700 DILLON RD/E KIVETT DR,Call,9/14/14 6:22,DOMESTIC DISTURBANCE,0.8
2700 E LEXINGTON AV,Call,1/31/14 8:54,DOMESTIC DISTURBANCE IP,0.8
2700 E LEXINGTON AV/GREENSBORO RD,Call,5/21/12 7:06,DOMESTIC DISTURBANCE IP,0.8
2700 N MAIN ST,Call,10/2/14 3:09,DOMESTIC DISTURBANCE IP,0.8
2700 N MAIN ST,Call,3/22/13 1:59,DOMESTIC DISTURBANCE IP,0.8
2700 N MAIN ST,Call,3/20/13 2:10,DOMESTIC DISTURBANCE,0.8
2700 N MAIN ST,Call,3/24/12 11:58,DOMESTIC DISTURBANCE,0.8
2700 S MAIN ST,Call,6/5/14 7:51,DOMESTIC DISTURBANCE IP,0.8
2700 S MAIN ST,Call,4/12/14 10:25,DOMESTIC DISTURBANCE,0.8
2700 S MAIN ST,Call,11/18/13 9:25,DOMESTIC DISTURBANCE IP,0.8
2700 S MAIN ST,Call,11/20/12 5:02,DOMESTIC DISTURBANCE,0.8
2700 S MAIN ST,Call,9/30/12 10:55,DOMESTIC DISTURBANCE IP,0.8
2700 S MAIN ST,Call,7/9/11 7:12,DOMESTIC DISTURBANCE,0.8
2700 S MAIN ST,Call,6/13/11 11:03,DOMESTIC DISTURBANCE,0.8
2700 S MAIN ST,Call,6/12/11 12:04,DOMESTIC DISTURBANCE,0.8
2700 S MAIN ST,Call,6/2/11 1:50,DOMESTIC DISTURBANCE,0.8
2700-A ANNMOORE CI,Arrest,8/4/14 8:50,FAILURE TO APPEAR,0.8
2700-A ANNMOORE CI,Arrest,4/24/13 10:34,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
2700-A ANNMOORE CI,Arrest,8/4/14 8:50,TRESPASS (SECOND DEGREE),0.8
2700-A ANNMOORE CI,Call,9/11/14 12:40,DOMESTIC DISTURBANCE IP,0.8
2700-A ANNMOORE CI,Call,7/31/14 2:26,DOMESTIC DISTURBANCE IP,0.8
2700-A ANNMOORE CI,Call,4/24/13 8:14,DOMESTIC DISTURBANCE IP,0.8
2700-A ANNMOORE CI,Call,1/2/12 11:18,DOMESTIC DISTURBANCE IP,0.8
2700-A ANNMOORE CI,Call,11/13/11 3:36,DOMESTIC DISTURBANCE IP,0.8
2700-A ANNMOORE CI,Call,7/24/11 5:44,DOMESTIC DISTURBANCE,0.8
2700-A ANNMOORE CI,Report,7/24/11 17:40,DOMESTIC DISTUR,0.8
2700-A ANNMOORE CI,Report,4/24/13 8:14,DOMESTIC DISTUR,0.8
2700-BLK ANNMOORE CI,Call,12/2/12 5:09,DOMESTIC DISTURBANCE,0.8
2700-BLK INGRAM RD,Call,9/6/11 7:53,DOMESTIC DISTURBANCE,0.8
2700-BLK S MAIN ST,Call,7/21/14 8:30,DOMESTIC DISTURBANCE IP,0.8
2700-BLK UWHARRIE RD,Call,9/1/11 7:25,DOMESTIC DISTURBANCE,0.8
2700-BLK WESTGATE DR,Call,6/28/11 9:05,DOMESTIC DISTURBANCE,0.8
2701 REGINALD CT,Arrest,11/2/11 22:01,POSSESSION OF DRUG PARAPHERNALIA,0.8
2701 REGINALD CT,Arrest,6/26/14 16:00,CONSPIRACY TO COMMIT DRUG OFFENSE,0.8
2701 REGINALD CT,Arrest,6/26/14 16:00,TRAFFICKING HEROIN,0.8
2701 REGINALD CT,Arrest,9/5/12 21:15,FAILURE TO APPEAR,0.8
2701 REGINALD CT,Arrest,11/2/11 22:01,POSSESS WITM/S/D CONTROLL SUBSTANCE SCHEDULE VI,0.8
2701 REGINALD CT,Arrest,6/26/14 16:00,POSSESS W/I/T M/S/D CONTROL SUBSTANCE SCHEDULE I,0.8
2701 REGINALD CT,Arrest,10/27/11 7:29,CARRYING CONCEALED GUN,0.8
2701 REGINALD CT,Arrest,7/18/13 14:49,POSSESS SCHEDULE VI,0.8
2701 REGINALD CT,Arrest,11/19/13 21:34,POSSESS WIT M/S/D CONTROL SUBSTANCE SCHEDULE II,0.8
2701 REGINALD CT,Arrest,6/18/14 22:04,FAILURE TO APPEAR,0.8
2701 REGINALD CT,Arrest,1/6/14 5:45,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
2701 REGINALD CT,Arrest,8/15/12 22:17,FAILURE TO APPEAR,0.8
2701 REGINALD CT,Call,1/6/14 4:13,DOMESTIC DISTURBANCE IP,0.8
2701 REGINALD CT,Call,9/22/11 5:38,DOMESTIC DISTURBANCE IP,0.8
2701 REGINALD CT,Report,1/6/14 4:10,DOMESTIC DISTUR,0.8
2701 S MAIN ST,Call,9/27/13 12:12,DOMESTIC DISTURBANCE IP,0.8
2701 S MAIN ST,Call,3/29/12 9:38,DOMESTIC DISTURBANCE IP,0.8
2702 CENTRAL AV,Call,7/22/14 10:35,DOMESTIC DISTURBANCE IP,0.8
2702 EMBERS CT,Call,5/3/11 3:59,DOMESTIC DISTURBANCE,0.8
2702 TRIANGLE LAKE RD,Call,5/27/12 7:23,DOMESTIC DISTURBANCE IP,0.8
2702 WILLARD RD,Call,11/2/14 2:16,DOMESTIC DISTURBANCE,0.8
2702-B ANNMOORE CI,Call,8/13/12 2:24,DOMESTIC DISTURBANCE IP,0.8
2702-B ANNMOORE CI,Report,8/13/12 14:20,DOMESTIC DISTUR,0.8
2703 S MAIN ST,Call,2/26/12 8:52,DOMESTIC DISTURBANCE IP,0.8
2704-D ANNMOORE CI,Call,4/18/13 1:03,DOMESTIC DISTURBANCE IP,0.8
2704-D ANNMOORE CI,Call,7/24/12 10:43,DOMESTIC DISTURBANCE IP,0.8
2704-D INGRAM RD,Call,5/29/11 11:10,DOMESTIC DISTURBANCE,0.8
2704-E INGRAM RD,Call,10/12/13 6:11,DOMESTIC DISTURBANCE IP,0.8
2705 E KIVETT DR,Call,9/21/12 4:36,DOMESTIC DISTURBANCE IP,0.8
2705 JANICE DR,Call,6/20/14 10:39,DOMESTIC DISTURBANCE IP,0.8
2705 JANICE DR,Report,6/20/14 7:40,DOMESTIC DISTUR,0.8
2705 N MAIN ST,Call,4/2/13 11:29,DOMESTIC DISTURBANCE IP,0.8
2705 N MAIN ST,Call,3/20/12 11:37,DOMESTIC DISTURBANCE,0.8
2705 N MAIN ST,Call,12/11/11 6:44,DOMESTIC DISTURBANCE IP,0.8
2706-A ANNMOORE CI,Call,7/14/14 11:52,DOMESTIC DISTURBANCE IP,0.8
2706-A ANNMOORE CI,Call,4/8/12 2:02,DOMESTIC DISTURBANCE IP,0.8
2706-A ANNMOORE CI,Call,9/18/11 11:45,DOMESTIC DISTURBANCE IP,0.8
2706-B ANNMOORE CI,Call,10/1/13 8:23,DOMESTIC DISTURBANCE IP,0.8
2706-B ANNMOORE CI,Call,9/20/13 10:15,DOMESTIC DISTURBANCE IP,0.8
2706-C ANNMOORE CI,Call,6/4/14 12:21,DOMESTIC DISTURBANCE IP,0.8
2706-C ANNMOORE CI,Call,9/12/11 11:57,DOMESTIC DISTURBANCE IP,0.8
2706-C ANNMOORE CI,Call,5/6/11 12:17,DOMESTIC DISTURBANCE,0.8
2707 S MAIN ST,Call,9/19/14 11:31,DOMESTIC DISTURBANCE IP,0.8
2707 S MAIN ST,Call,3/7/14 2:29,DOMESTIC DISTURBANCE,0.8
2708 ALLEN JAY RD,Arrest,10/6/13 1:15,DOMESTIC CRIMINAL TRESPASS,0.8
2708 ALLEN JAY RD,Arrest,10/6/13 1:15,RESIST  DELAY  OBSTRUCT PUBLIC OFFICER,0.8
2708 ALLEN JAY RD,Arrest,5/17/13 3:56,BURGLARY (SECOND DEGREE),0.8
2708 ALLEN JAY RD,Arrest,11/16/13 8:04,VANDALISM-TO REAL PROPERTY WILLFUL AND WANTON INJURY,0.8
2708 ALLEN JAY RD,Arrest,5/17/13 3:56,BURGLARY (SECOND DEGREE),0.8
2708 ALLEN JAY RD,Arrest,11/16/13 8:04,VANDALISM-TO REAL PROPERTY WILLFUL AND WANTON INJURY,0.8
2708 ALLEN JAY RD,Arrest,11/16/13 8:04,ASSAULT WITH DEADLY WEAPON WITH INTENT TO KILL,0.8
2708 ALLEN JAY RD,Arrest,5/17/13 3:56,LARCENY AFTER B & E,0.8
2708 ALLEN JAY RD,Arrest,8/25/12 23:20,COMMUNICATING THREATS,0.8
2708 ALLEN JAY RD,Arrest,11/16/13 8:04,ASSAULT & BATTERY,0.8
2708 ALLEN JAY RD,Arrest,10/6/13 1:15,DOMESTIC CRIMINAL TRESPASS,0.8
2708 ALLEN JAY RD,Arrest,11/16/13 8:04,ASSAULT & BATTERY,0.8
2708 ALLEN JAY RD,Arrest,8/25/12 23:20,TRESPASS (SECOND DEGREE),0.8
2708 ALLEN JAY RD,Arrest,10/6/13 1:15,RESIST  DELAY  OBSTRUCT PUBLIC OFFICER,0.8
2708 ALLEN JAY RD,Arrest,8/25/12 23:20,TRESPASS (SECOND DEGREE),0.8
2708 ALLEN JAY RD,Arrest,5/17/13 3:56,LARCENY AFTER B & E,0.8
2708 ALLEN JAY RD,Arrest,11/16/13 8:04,ASSAULT WITH DEADLY WEAPON WITH INTENT TO KILL,0.8
2708 ALLEN JAY RD,Arrest,8/25/12 23:20,COMMUNICATING THREATS,0.8
2708 ALLEN JAY RD,Call,10/21/14 1:39,DOMESTIC DISTURBANCE IP,0.8
2708 ALLEN JAY RD,Call,10/6/13 12:58,DOMESTIC DISTURBANCE,0.8
2708 ALLEN JAY RD,Call,8/25/12 9:31,DOMESTIC DISTURBANCE IP,0.8
2708 ALLEN JAY RD,Call,8/1/12 3:58,DOMESTIC DISTURBANCE IP,0.8
2708 ALLEN JAY RD,Call,8/1/12 3:23,DOMESTIC DISTURBANCE IP,0.8
2708 ALLEN JAY RD,Call,7/9/12 12:49,DOMESTIC DISTURBANCE IP,0.8
2708 ALLEN JAY RD,Report,8/1/12 3:15,DOMESTIC DISTUR,0.8
2708 ALLEN JAY RD,Report,10/6/13 0:01,DOMESTIC DISTUR,0.8
2708 ANNMOORE CI,Call,1/21/14 6:48,DOMESTIC DISTURBANCE,0.8
2708 ANNMOORE CI,Call,11/1/13 12:47,DOMESTIC DISTURBANCE,0.8
2708 ANNMOORE CI,Call,4/13/12 3:18,DOMESTIC DISTURBANCE,0.8
2708 ANNMOORE CI,Call,5/28/11 1:39,DOMESTIC DISTURBANCE,0.8
2708 INGRAM RD,Call,9/16/12 2:14,DOMESTIC DISTURBANCE IP,0.8
2708-E INGRAM RD,Call,2/18/12 3:47,DOMESTIC DISTURBANCE IP,0.8
2708-E INGRAM RD,Report,2/18/12 14:00,MISSING PERSON,0.8
2708-G INGRAM RD,Call,9/21/12 8:20,DOMESTIC DISTURBANCE IP,0.8
2708-G INGRAM RD,Call,9/17/12 12:43,DOMESTIC DISTURBANCE IP,0.8
2709 ALLEN JAY RD,Call,3/13/14 7:27,DOMESTIC DISTURBANCE,0.8
2709 N MAIN ST,Call,12/8/13 7:27,DOMESTIC DISTURBANCE IP,0.8
2709 N MAIN ST,Call,11/17/11 9:13,DOMESTIC DISTURBANCE,0.8
2709 S MAIN ST,Arrest,5/31/13 15:04,SHOPLIFTING,0.8
2709 S MAIN ST,Arrest,8/23/12 8:36,ASSAULT ON FEMALE,0.8
2709 S MAIN ST,Call,8/23/12 8:12,DOMESTIC DISTURBANCE IP,0.8
2709 S MAIN ST,Report,8/23/12 8:00,DOMESTIC DISTUR,0.8
2709-C ANNMOORE CI,Call,7/28/12 2:33,DOMESTIC DISTURBANCE IP,0.8
271 EASTCHESTER DR,Call,12/12/12 10:46,DOMESTIC DISTURBANCE IP,0.8
2710 E KIVETT DR,Call,7/11/12 12:02,DOMESTIC DISTURBANCE,0.8
2710 E KIVETT DR,Call,7/10/12 10:24,DOMESTIC DISTURBANCE,0.8
2710 ERNEST ST,Call,6/4/11 6:28,DOMESTIC DISTURBANCE,0.8
2710 INGRAM RD,Call,6/16/13 10:26,DOMESTIC DISTURBANCE,0.8
2710 N MAIN ST,Arrest,2/24/13 22:47,POSSESS CONTROL SUBSTANCE SCHEDULE II,0.8
2710 N MAIN ST,Arrest,7/19/13 7:19,FRAUD-CREDIT CARD,0.8
2710 N MAIN ST,Arrest,4/28/13 0:45,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0.8
2710 N MAIN ST,Arrest,4/28/13 0:45,FALSE IMPRISONMENT COMMON LAW,0.8
2710 N MAIN ST,Arrest,2/24/13 22:47,POSSESS SCHEDULE VI,0.8
2710 N MAIN ST,Arrest,7/19/13 7:19,OBTAINING PROPERTY BY FALSE PRETENSES,0.8
2710 N MAIN ST,Call,6/29/14 2:00,DOMESTIC DISTURBANCE IP,0.8
2710 N MAIN ST,Call,6/18/14 12:27,DOMESTIC DISTURBANCE IP,0.8
2710 N MAIN ST,Call,5/9/14 8:00,DOMESTIC DISTURBANCE IP,0.8
2710 N MAIN ST,Call,6/21/13 6:51,DOMESTIC DISTURBANCE IP,0.8
2710 N MAIN ST,Call,6/15/13 4:41,DOMESTIC DISTURBANCE IP,0.8
2710 N MAIN ST,Call,6/15/13 3:31,DOMESTIC DISTURBANCE IP,0.8
2710 N MAIN ST,Call,6/4/13 6:20,DOMESTIC DISTURBANCE IP,0.8
2710 N MAIN ST,Call,5/23/13 3:21,DOMESTIC DISTURBANCE IP,0.8
2710 N MAIN ST,Call,4/28/13 12:23,DOMESTIC DISTURBANCE IP,0.8
2710 N MAIN ST,Call,3/24/13 5:26,DOMESTIC DISTURBANCE IP,0.8
2710 N MAIN ST,Call,9/6/12 10:51,DOMESTIC DISTURBANCE IP,0.8
2710 N MAIN ST,Call,7/4/12 7:07,DOMESTIC DISTURBANCE IP,0.8
2710 N MAIN ST,Call,6/24/12 9:34,DOMESTIC DISTURBANCE,0.8
2710 N MAIN ST,Call,7/6/11 9:55,DOMESTIC DISTURBANCE,0.8
2710 N MAIN ST,Call,5/14/11 11:44,DOMESTIC DISTURBANCE,0.8
2710 N MAIN ST,Report,10/11/11 12:15,LARCENY CONCEAL,0.8
2710 N MAIN ST,Report,6/27/14 14:30,HIT AND RUN - P,0.8
2710 N MAIN ST,Report,11/22/11 11:45,LARCENY CONCEAL,0.8
2710 N MAIN ST,Report,4/28/13 0:23,DOMESTIC DISTUR,0.8
2710 S MAIN ST,Call,3/4/12 7:43,DOMESTIC DISTURBANCE,0.8
2710-E INGRAM RD,Call,11/22/11 6:23,DOMESTIC DISTURBANCE,0.8
2710-G INGRAM RD,Call,8/19/13 8:16,DOMESTIC DISTURBANCE,0.8
2710-G INGRAM RD,Call,12/19/12 12:15,DOMESTIC DISTURBANCE,0.8
2711 ALLEN JAY RD,Call,11/22/12 8:06,DOMESTIC DISTURBANCE,0.8
2711 S MAIN ST,Call,6/21/13 5:05,DOMESTIC DISTURBANCE,0.8
2712 REGINALD CT,Call,7/5/13 6:53,DOMESTIC DISTURBANCE,0.8
2712-D INGRAM RD,Call,5/17/14 3:06,DOMESTIC DISTURBANCE IP,0.8
2713 EMBERS CT,Call,5/7/14 7:17,DOMESTIC DISTURBANCE IP,0.8
2713 EMBERS CT,Call,6/25/11 4:25,DOMESTIC DISTURBANCE,0.8
2713 ERNEST ST,Call,10/6/13 11:45,DOMESTIC DISTURBANCE,0.8
2713 ERNEST ST,Call,8/13/13 10:16,DOMESTIC DISTURBANCE,0.8
2713 S MAIN ST,Call,4/21/13 11:26,DOMESTIC DISTURBANCE,0.8
2714 INGRAM RD,Call,4/4/13 10:05,DOMESTIC DISTURBANCE,0.8
2714 INGRAM RD,Call,6/20/12 1:38,DOMESTIC DISTURBANCE,0.8
2715 JANICE DR,Call,10/14/14 10:05,DOMESTIC DISTURBANCE,0.8
